,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
89,89,0.9989351897567559,2026-06-25 19:49:50.869554,2026-06-25 19:49:51.791595,0 days 00:00:00.922041,0.7266078364257491,0.047755018351168056,6,138,0.8240118898946321,COMPLETE
90,90,0.9769533872975433,2026-06-25 19:49:51.792077,2026-06-25 19:49:52.544065,0 days 00:00:00.751988,0.613344443295618,0.0264647068706391,3,151,0.7967128529872318,COMPLETE
91,91,0.9989351897567559,2026-06-25 19:49:52.544633,2026-06-25 19:49:54.178373,0 days 00:00:01.633740,0.6461274945812842,0.03581236935594839,6,213,0.8948563454933564,COMPLETE
92,92,1.0,2026-06-25 19:49:54.178863,2026-06-25 19:49:59.572564,0 days 00:00:05.393701,0.6556018057166901,0.0415386544502911,6,225,0.8355805645166863,COMPLETE
93,93,0.9841174898258129,2026-06-25 19:49:59.573082,2026-06-25 19:50:01.442285,0 days 00:00:01.869203,0.5790399354634842,0.0032494776621130434,6,203,0.732946801664574,COMPLETE
94,94,1.0,2026-06-25 19:50:01.442813,2026-06-25 19:50:02.882763,0 days 00:00:01.439950,0.6166594772999544,0.07185177694044849,7,230,0.8488533033733922,COMPLETE
95,95,1.0,2026-06-25 19:50:02.883227,2026-06-25 19:50:03.960195,0 days 00:00:01.076968,0.5115930148605969,0.05232104712887566,6,192,0.8687053746145466,COMPLETE
96,96,0.9989351897567559,2026-06-25 19:50:03.960795,2026-06-25 19:50:05.350812,0 days 00:00:01.390017,0.6356131038057934,0.06073917708715241,5,209,0.553359603730647,COMPLETE
97,97,1.0,2026-06-25 19:50:05.351260,2026-06-25 19:50:07.192200,0 days 00:00:01.840940,0.8072004969370363,0.09410558724189877,5,265,0.81405572789924,COMPLETE
98,98,1.0,2026-06-25 19:50:07.192783,2026-06-25 19:50:08.372501,0 days 00:00:01.179718,0.5949501502409326,0.22584486923772631,4,174,0.7733605566690338,COMPLETE
99,99,0.9957222822503526,2026-06-25 19:50:08.372949,2026-06-25 19:50:09.476861,0 days 00:00:01.103912,0.671819607419358,0.021636724154447888,7,162,0.9217639445389291,COMPLETE
